391895	[{"caption":"a man sitting on a motorcycle on a dirt road."}]
60623	[{"caption":"a young girl blowing out candles on a cake."}]
483108	[{"caption":"a man standing next to a red and white train."}]
384213	[{"caption":"a kitchen with a sink and a window"}]
386164	[{"caption":"a collection of wooden spoons on a table."}]
223648	[{"caption":"a long table with many wooden spoons on it."}]
294832	[{"caption":"a bathroom with a walk in shower next to a toilet."}]
462565	[{"caption":"a group of people riding bikes down a street."}]
436141	[{"caption":"a bathroom with a sink, toilet and mirror."}]
192440	[{"caption":"a bathroom with a toilet and a sink."}]
1146	[{"caption":"a man wearing a black shirt and green tie."}]
559665	[{"caption":"a black and white photo of two people on a motorcycle."}]
394240	[{"caption":"a row of motorcycles parked in a narrow street."}]
579664	[{"caption":"a bunch of bananas sitting on top of a wooden table."}]
550529	[{"caption":"a motorcycle on display in a wine cellar."}]
560623	[{"caption":"a view of an airport from a window."}]
561100	[{"caption":"a small airplane sitting on top of a grass covered field."}]
354533	[{"caption":"a motorcycle parked in front of a wire fence."}]
334321	[{"caption":"a dog that is sitting on a bench."}]
368117	[{"caption":"a couple of traffic lights sitting on top of a pole."}]
165547	[{"caption":"a wooden table with a vase of flowers on it."}]
455859	[{"caption":"a group of people standing next to each other."}]
290570	[{"caption":"a herd of sheep standing on top of a lush green field."}]
281455	[{"caption":"a flock of birds flying through a cloudy sky."}]
17756	[{"caption":"a person sleeping in a boat on a river."}]
305821	[{"caption":"a couple of giraffe standing next to each other."}]
459374	[{"caption":"a yellow fire hydrant sitting on the side of a road."}]
208589	[{"caption":"a black bird eating an apple in a pot."}]
358342	[{"caption":"a black and white photo of a clock tower."}]
74711	[{"caption":"two ducks floating on top of a lake."}]
197461	[{"caption":"a large white sheep standing in a field."}]
165029	[{"caption":"a person wearing a red jacket"}]
336777	[{"caption":"a bunch of signs that are on a pole"}]
472795	[{"caption":"a brown cow walking down a sidewalk next to a store."}]
182784	[{"caption":"a cow standing next to a blue fire hydrant."}]
458052	[{"caption":"a cat eating a banana on a rug."}]
26942	[{"caption":"a cat sitting on top of a wooden chair."}]
535292	[{"caption":"a black and white cow standing in a field."}]
451872	[{"caption":"a group of people watching an elephant in a zoo."}]
516750	[{"caption":"a couple of kayaks sitting next to a body of water."}]
69946	[{"caption":"a bunch of boats that are sitting in the water."}]
109005	[{"caption":"an elephant standing in a field next to a pond."}]
553442	[{"caption":"a woman holding a little girl and a suitcase"}]
261779	[{"caption":"a woman sitting on top of a suitcase."}]
198448	[{"caption":"a woman sitting on a suitcase in the woods."}]
329717	[{"caption":"a baby sitting on a suitcase on the floor."}]
341393	[{"caption":"a brown dog laying next to a pool."}]
299319	[{"caption":"two girls with umbrellas walking in the rain."}]
288955	[{"caption":"a small black dog sitting next to a plate of food."}]
426578	[{"caption":"a man on a beach with a frisbee."}]
64710	[{"caption":"a person walking a dog on a dirt road."}]
180447	[{"caption":"a close up of a zebra eating grass"}]
75162	[{"caption":"a zebra standing in the snow next to a brick wall."}]
129637	[{"caption":"a group of horses standing next to each other."}]
444444	[{"caption":"a woman standing next to a horse in a field."}]
503005	[{"caption":"a man riding on the back of a horse."}]
316795	[{"caption":"a man standing next to a white horse."}]
375840	[{"caption":"a banana sitting on a tray next to two oranges."}]
147980	[{"caption":"a group of children playing a game of baseball."}]
34180	[{"caption":"a woman with a bunch of bananas on her head."}]
169802	[{"caption":"a man in a costume with bananas on his head."}]
570465	[{"caption":"a close up of a plate of food on a table"}]
356708	[{"caption":"a man teaching a child how to ski."}]
362368	[{"caption":"a young boy holding a plate of food."}]
216228	[{"caption":"a person riding a skateboard on a sidewalk."}]
472854	[{"caption":"two young men riding skateboards in a parking lot."}]
127451	[{"caption":"a couple of men standing on top of a snowboard."}]
299116	[{"caption":"a little girl sitting at a table eating a doughnut."}]
66412	[{"caption":"a man in a blue jacket holding a snowboard."}]
410002	[{"caption":"a display case filled with lots of donuts."}]
507065	[{"caption":"a young boy eating a sandwich on a bench."}]
415746	[{"caption":"a display case filled with lots of different kinds of muffins."}]
71171	[{"caption":"a white plate topped with a sandwich and a salad."}]
292301	[{"caption":"a sandwich and a cup of coffee on a table."}]
550627	[{"caption":"a bunch of donuts with sprinkles on them."}]
244339	[{"caption":"a man holding a basketball in his hands."}]
284350	[{"caption":"a woman standing on a beach holding a surfboard."}]
309120	[{"caption":"a man on a field with a soccer ball."}]
467477	[{"caption":"a man riding a wave on top of a surfboard."}]
154971	[{"caption":"a group of men playing a game of soccer."}]
295837	[{"caption":"a woman standing in front of a plate of food."}]
224757	[{"caption":"a group of children standing around a soccer ball."}]
182245	[{"caption":"a man sitting at a table in front of a pizza."}]
353830	[{"caption":"a close up of a pizza on a table"}]
301102	[{"caption":"two tennis racquets laying next to each other."}]
190081	[{"caption":"a woman holding a tennis racquet in a room."}]
207151	[{"caption":"a slice of pizza sitting on top of a wooden cutting board."}]
371250	[{"caption":"a couch with pillows and a pineapple on it."}]
209868	[{"caption":"a close up of a person brushing their teeth"}]
235597	[{"caption":"a man sitting at a desk using a computer."}]
503311	[{"caption":"a man walking on a beach holding a kite."}]
138477	[{"caption":"a couple of people flying a kite in a field."}]
76292	[{"caption":"a man and a little girl sitting on a swing."}]
502090	[{"caption":"a couple of kites that are flying in the sky."}]
28655	[{"caption":"a clock on a pole on a city street."}]
191096	[{"caption":"a group of men playing a game of baseball."}]
78707	[{"caption":"a baseball player holding a bat on a field."}]
336493	[{"caption":"a group of men playing a game of baseball."}]
74369	[{"caption":"a young boy in a baseball uniform poses for a picture."}]
384012	[{"caption":"a baseball player holding a bat on top of a field."}]
579056	[{"caption":"a man swinging a baseball bat at a ball"}]
24223	[{"caption":"a pizza sitting on top of a pan on a stove."}]
69392	[{"caption":"a group of people standing on top of a tennis court."}]
272262	[{"caption":"a man hitting a tennis ball with a racquet."}]
43635	[{"caption":"a group of people standing around a building."}]
87199	[{"caption":"a man in a costume talking on a cell phone."}]
527248	[{"caption":"a crowd of people standing in front of a clock tower."}]
353136	[{"caption":"a person petting a dog on a bed."}]
83915	[{"caption":"the courthouse is located on the campus."}]
2240	[{"caption":"a group of stuffed animals sitting next to each other."}]
28377	[{"caption":"a street with buildings and a clock tower."}]
217183	[{"caption":"a vase filled with flowers on top of a table."}]
366630	[{"caption":"a white vase filled with purple and pink flowers."}]
157184	[{"caption":"a man is holding a pair of scissors."}]
509819	[{"caption":"a pair of scissors and thread on a cutting board."}]
510657	[{"caption":"a group of people sitting around a table."}]
195645	[{"caption":"a group of people sitting around a table."}]
484145	[{"caption":"a man holding a wine glass in a store."}]
530207	[{"caption":"a group of people walking down a sidewalk."}]
17953	[{"caption":"a bunch of vegetables sitting on top of a counter."}]
210012	[{"caption":"a woman and a dog in a kitchen."}]
31442	[{"caption":"a man sitting on a chair in a kitchen."}]
399851	[{"caption":"a kitchen with a wooden table and tools hanging on the wall."}]
539124	[{"caption":"a group of people standing on a sidewalk."}]
12896	[{"caption":"a man riding a bike past a wall."}]
378709	[{"caption":"a bathroom with a toilet, sink and mirror."}]
431197	[{"caption":"a bathroom with a sink, mirror and towel rack."}]
463610	[{"caption":"a white toilet sitting next to a shower."}]
540806	[{"caption":"a man riding a motorcycle down a highway."}]
402330	[{"caption":"a white toilet sitting on top of a wooden floor."}]
378657	[{"caption":"a group of people standing around a clock tower."}]
24343	[{"caption":"two people sitting on a motorcycle in the rain."}]
376177	[{"caption":"a group of people walking towards a large plane."}]
115178	[{"caption":"a red airplane flying through a blue sky."}]
572733	[{"caption":"a large jetliner flying through a blue sky."}]
112956	[{"caption":"a large jetliner flying through a blue sky."}]
144122	[{"caption":"a small airplane flying through a blue sky."}]
183181	[{"caption":"a group of animals that are standing in the grass."}]
275210	[{"caption":"a giraffe standing on top of a dirt field."}]
519046	[{"caption":"a giraffe standing in the middle of a field."}]
362159	[{"caption":"a red traffic light hanging over a city street."}]
389378	[{"caption":"a city street at night with traffic lights."}]
12204	[{"caption":"two giraffes are walking around a fenced in area."}]
91857	[{"caption":"a giraffe is eating from a feeder."}]
